Graph,Type,AUPR,Algorithm,Size
Linear,Mean,0.326217452065532,PC-Gauss,20
Linear,Std Dev,0.060486508596626,PC-Gauss,20
GP AM,Mean,0.306073307011137,PC-Gauss,20
GP AM,Std Dev,0.07258641882606,PC-Gauss,20
GP Mix,Mean,0.250562782880987,PC-Gauss,20
GP Mix,Std Dev,0.098722052979849,PC-Gauss,20
Sigmoid AM,Mean,0.448154019208693,PC-Gauss,20
Sigmoid AM,Std Dev,0.104968260631283,PC-Gauss,20
Sigmoid Mix,Mean,0.227033527056,PC-Gauss,20
Sigmoid Mix,Std Dev,0.058398122168561,PC-Gauss,20
NN,Mean,0.232437381971927,PC-Gauss,20
NN,Std Dev,0.04815510329843,PC-Gauss,20
Syntren,Mean,0.156461386023654,PC-Gauss,20
Syntren,Std Dev,0.059776570118587,PC-Gauss,20
Linear,Mean,0.310398331122026,PC-HSIC,20
Linear,Std Dev,0.068987289673221,PC-HSIC,20
GP AM,Mean,0.395026700071246,PC-HSIC,20
GP AM,Std Dev,0.056874397155889,PC-HSIC,20
GP Mix,Mean,0.373551376816355,PC-HSIC,20
GP Mix,Std Dev,0.068124858217499,PC-HSIC,20
Sigmoid AM,Mean,0.417154753399604,PC-HSIC,20
Sigmoid AM,Std Dev,0.077346455199193,PC-HSIC,20
Sigmoid Mix,Mean,0.280993473295206,PC-HSIC,20
Sigmoid Mix,Std Dev,0.083571267265803,PC-HSIC,20
NN,Mean,0.267216105382427,PC-HSIC,20
NN,Std Dev,0.032604771497848,PC-HSIC,20
Syntren,Mean,0.05875,PC-HSIC,20
Syntren,Std Dev,0.009890020222426,PC-HSIC,20
Linear,Mean,0.295942100623537,PC-RCOT,20
Linear,Std Dev,0.039723969593538,PC-RCOT,20
GP AM,Mean,0.417604871865158,PC-RCOT,20
GP AM,Std Dev,0.0577089782076,PC-RCOT,20
GP Mix,Mean,0.33745963534794,PC-RCOT,20
GP Mix,Std Dev,0.059572216167069,PC-RCOT,20
Sigmoid AM,Mean,0.360295352799469,PC-RCOT,20
Sigmoid AM,Std Dev,0.048149757804733,PC-RCOT,20
Sigmoid Mix,Mean,0.253108539386523,PC-RCOT,20
Sigmoid Mix,Std Dev,0.048251906660073,PC-RCOT,20
NN,Mean,0.2741849912471,PC-RCOT,20
NN,Std Dev,0.030239696923909,PC-RCOT,20
Syntren,Mean,0.164797757016687,PC-RCOT,20
Syntren,Std Dev,0.050601308255656,PC-RCOT,20
Linear,Mean,0.30640034089035,PC-RCIT,20
Linear,Std Dev,0.045127544084775,PC-RCIT,20
GP AM,Mean,0.371698941493944,PC-RCIT,20
GP AM,Std Dev,0.037116281671817,PC-RCIT,20
GP Mix,Mean,0.30706013215884,PC-RCIT,20
GP Mix,Std Dev,0.054374580549126,PC-RCIT,20
Sigmoid AM,Mean,0.350844565280856,PC-RCIT,20
Sigmoid AM,Std Dev,0.051746693200195,PC-RCIT,20
Sigmoid Mix,Mean,0.251456478844021,PC-RCIT,20
Sigmoid Mix,Std Dev,0.0559379630077,PC-RCIT,20
NN,Mean,0.266707531510383,PC-RCIT,20
NN,Std Dev,0.035690198282099,PC-RCIT,20
Syntren,Mean,0.158249955668459,PC-RCIT,20
Syntren,Std Dev,0.051919105305537,PC-RCIT,20
Linear,Mean,0.516875076046208,GES,20
Linear,Std Dev,0.196012357293069,GES,20
GP AM,Mean,0.274237133807804,GES,20
GP AM,Std Dev,0.062417077880885,GES,20
GP Mix,Mean,0.270910789134736,GES,20
GP Mix,Std Dev,0.069415553675197,GES,20
Sigmoid AM,Mean,0.438521501384476,GES,20
Sigmoid AM,Std Dev,0.141757125747717,GES,20
Sigmoid Mix,Mean,0.258834841678467,GES,20
Sigmoid Mix,Std Dev,0.106374265596434,GES,20
NN,Mean,0.230736203335981,GES,20
NN,Std Dev,0.072469451592219,GES,20
Syntren,Mean,0.137529672474679,GES,20
Syntren,Std Dev,0.058017535758589,GES,20
Linear,Mean,0.502141040413869,GIES,20
Linear,Std Dev,0.205846906276603,GIES,20
GP AM,Mean,0.27721280279107,GIES,20
GP AM,Std Dev,0.070119028489221,GIES,20
GP Mix,Mean,0.272129626373197,GIES,20
GP Mix,Std Dev,0.09592691448948,GIES,20
Sigmoid AM,Mean,0.455712859191756,GIES,20
Sigmoid AM,Std Dev,0.14023716212709,GIES,20
Sigmoid Mix,Mean,0.272129626373197,GIES,20
Sigmoid Mix,Std Dev,0.09592691448948,GIES,20
NN,Mean,0.261199000935465,GIES,20
NN,Std Dev,0.086468443601247,GIES,20
Syntren,Mean,0.124384481645862,GIES,20
Syntren,Std Dev,0.041660517117875,GIES,20
Linear,Mean,0.367477140055149,LiNGAM,20
Linear,Std Dev,0.047921056788766,LiNGAM,20
GP AM,Mean,0.130806153985504,LiNGAM,20
GP AM,Std Dev,0.02923259353401,LiNGAM,20
GP Mix,Mean,0.110788982501194,LiNGAM,20
GP Mix,Std Dev,0.021869711894847,LiNGAM,20
Sigmoid AM,Mean,0.152614622256555,LiNGAM,20
Sigmoid AM,Std Dev,0.063754858292876,LiNGAM,20
Sigmoid Mix,Mean,0.121930290124453,LiNGAM,20
Sigmoid Mix,Std Dev,0.024185508416202,LiNGAM,20
NN,Mean,0.132710074763377,LiNGAM,20
NN,Std Dev,0.025323575182824,LiNGAM,20
Syntren,Mean,0,LiNGAM,20
Syntren,Std Dev,0,LiNGAM,20
Linear,Mean,0.29,MMHC,20
Linear,Std Dev,0.05,MMHC,20
GP AM,Mean,0.23,MMHC,20
GP AM,Std Dev,0.03,MMHC,20
GP Mix,Mean,0.2,MMHC,20
GP Mix,Std Dev,0.04,MMHC,20
Sigmoid AM,Mean,0.31,MMHC,20
Sigmoid AM,Std Dev,0.03,MMHC,20
Sigmoid Mix,Mean,0.23,MMHC,20
Sigmoid Mix,Std Dev,0.03,MMHC,20
NN,Mean,0.25,MMHC,20
NN,Std Dev,0.03,MMHC,20
Syntren,Mean,0.14,MMHC,20
Syntren,Std Dev,0.05,MMHC,20
Linear,Mean,0.33,CCDr,20
Linear,Std Dev,0.06,CCDr,20
GP AM,Mean,0.31,CCDr,20
GP AM,Std Dev,0.07,CCDr,20
GP Mix,Mean,0.25,CCDr,20
GP Mix,Std Dev,0.09,CCDr,20
Sigmoid AM,Mean,0.45,CCDr,20
Sigmoid AM,Std Dev,0.1,CCDr,20
Sigmoid Mix,Mean,0.23,CCDr,20
Sigmoid Mix,Std Dev,0.06,CCDr,20
NN,Mean,0.23,CCDr,20
NN,Std Dev,0.05,CCDr,20
Syntren,Mean,0.18,CCDr,20
Syntren,Std Dev,0.12,CCDr,20
Linear,Mean,0.233625281646904,CAM,20
Linear,Std Dev,0.073017520097404,CAM,20
GP AM,Mean,0.804191400760764,CAM,20
GP AM,Std Dev,0.067879735402068,CAM,20
GP Mix,Mean,0.644727779572836,CAM,20
GP Mix,Std Dev,0.117037510542424,CAM,20
Sigmoid AM,Mean,0.552225260752198,CAM,20
Sigmoid AM,Std Dev,0.108186834046642,CAM,20
Sigmoid Mix,Mean,0.186590827656615,CAM,20
Sigmoid Mix,Std Dev,0.043698072820197,CAM,20
NN,Mean,0.305567536911874,CAM,20
NN,Std Dev,0.098890983589989,CAM,20
Syntren,Mean,0.208046293396759,CAM,20
Syntren,Std Dev,0.075351819352282,CAM,20
Linear,Mean,0.27,GENIE3,20
Linear,Std Dev,0.05,GENIE3,20
GP AM,Mean,0.47,GENIE3,20
GP AM,Std Dev,0.04,GENIE3,20
GP Mix,Mean,0.46,GENIE3,20
GP Mix,Std Dev,0.08,GENIE3,20
Sigmoid AM,Mean,0.4,GENIE3,20
Sigmoid AM,Std Dev,0.05,GENIE3,20
Sigmoid Mix,Mean,0.24,GENIE3,20
Sigmoid Mix,Std Dev,0.02,GENIE3,20
NN,Mean,0.31,GENIE3,20
NN,Std Dev,0.04,GENIE3,20
Syntren,Mean,0.23,GENIE3,20
Syntren,Std Dev,0.07,GENIE3,20
Linear,Mean,0.308659129484517,SAM-mse-linear,20
Linear,Std Dev,0.04369021384186,SAM-mse-linear,20
GP AM,Mean,0.290517915853005,SAM-mse-linear,20
GP AM,Std Dev,0.052576681223828,SAM-mse-linear,20
GP Mix,Mean,0.286111448314092,SAM-mse-linear,20
GP Mix,Std Dev,0.051798085615022,SAM-mse-linear,20
Sigmoid AM,Mean,0.317981697514433,SAM-mse-linear,20
Sigmoid AM,Std Dev,0.055725366341113,SAM-mse-linear,20
Sigmoid Mix,Mean,0.282390886926996,SAM-mse-linear,20
Sigmoid Mix,Std Dev,0.039680886326562,SAM-mse-linear,20
NN,Mean,0.318134124706172,SAM-mse-linear,20
NN,Std Dev,0.079661985329521,SAM-mse-linear,20
Syntren,Mean,0.192467455360707,SAM-mse-linear,20
Syntren,Std Dev,0.081755590194311,SAM-mse-linear,20
Linear,Mean,0.289210256253734,SAM-mse,20
Linear,Std Dev,0.041127616805698,SAM-mse,20
GP AM,Mean,0.425408540542492,SAM-mse,20
GP AM,Std Dev,0.043671399886882,SAM-mse,20
GP Mix,Mean,0.456698956427098,SAM-mse,20
GP Mix,Std Dev,0.09832331565772,SAM-mse,20
Sigmoid AM,Mean,0.402667967976183,SAM-mse,20
Sigmoid AM,Std Dev,0.083273396936475,SAM-mse,20
Sigmoid Mix,Mean,0.257422390837669,SAM-mse,20
Sigmoid Mix,Std Dev,0.048708742259397,SAM-mse,20
NN,Mean,0.333263807621585,SAM-mse,20
NN,Std Dev,0.065506472473279,SAM-mse,20
Syntren,Mean,0.40298996481014,SAM-mse,20
Syntren,Std Dev,0.139058231695331,SAM-mse,20
Linear,Mean,0.486655248802508,SAM-lin,20
Linear,Std Dev,0.097178854853673,SAM-lin,20
GP AM,Mean,0.279874716744746,SAM-lin,20
GP AM,Std Dev,0.040670422989545,SAM-lin,20
GP Mix,Mean,0.291509885015397,SAM-lin,20
GP Mix,Std Dev,0.027233655395566,SAM-lin,20
Sigmoid AM,Mean,0.409058310458456,SAM-lin,20
Sigmoid AM,Std Dev,0.092943231903475,SAM-lin,20
Sigmoid Mix,Mean,0.348377307164255,SAM-lin,20
Sigmoid Mix,Std Dev,0.084612670591634,SAM-lin,20
NN,Mean,0.343620904967912,SAM-lin,20
NN,Std Dev,0.07853956693769,SAM-lin,20
Syntren,Mean,0.236285950276241,SAM-lin,20
Syntren,Std Dev,0.229075484953893,SAM-lin,20
Linear,Mean,0.49,SAM,20
Linear,Std Dev,0.11,SAM,20
GP AM,Mean,0.69,SAM,20
GP AM,Std Dev,0.06,SAM,20
GP Mix,Mean,0.71,SAM,20
GP Mix,Std Dev,0.06,SAM,20
Sigmoid AM,Mean,0.51,SAM,20
Sigmoid AM,Std Dev,0.10,SAM,20
Sigmoid Mix,Mean,0.57,SAM,20
Sigmoid Mix,Std Dev,0.07,SAM,20
NN,Mean,0.52,SAM,20
NN,Std Dev,0.11,SAM,20
Syntren,Mean,0.55,SAM,20
Syntren,Std Dev,0.15292251840014,SAM,20
Linear,Mean,0.196074,PC-Gauss,100
Linear,Std Dev,0.031662,PC-Gauss,100
GP AM,Mean,0.241536,PC-Gauss,100
GP AM,Std Dev,0.028031,PC-Gauss,100
GP Mix,Mean,0.234887,PC-Gauss,100
GP Mix,Std Dev,0.026121,PC-Gauss,100
Sigmoid AM,Mean,0.536996,PC-Gauss,100
Sigmoid AM,Std Dev,0.041673,PC-Gauss,100
Sigmoid Mix,Mean,0.210451,PC-Gauss,100
Sigmoid Mix,Std Dev,0.042741,PC-Gauss,100
NN,Mean,0.185806,PC-Gauss,100
NN,Std Dev,0.032103,PC-Gauss,100
Syntren,Mean,0.063499,PC-Gauss,100
Syntren,Std Dev,0.011877,PC-Gauss,100
Linear,Mean,0,PC-HSIC,100
Linear,Std Dev,0,PC-HSIC,100
GP AM,Mean,0,PC-HSIC,100
GP AM,Std Dev,0,PC-HSIC,100
GP Mix,Mean,0,PC-HSIC,100
GP Mix,Std Dev,0,PC-HSIC,100
Sigmoid AM,Mean,0,PC-HSIC,100
Sigmoid AM,Std Dev,0,PC-HSIC,100
Sigmoid Mix,Mean,0,PC-HSIC,100
Sigmoid Mix,Std Dev,0,PC-HSIC,100
NN,Mean,0,PC-HSIC,100
NN,Std Dev,0,PC-HSIC,100
Syntren,Mean,0,PC-HSIC,100
Syntren,Std Dev,0,PC-HSIC,100
Linear,Mean,0.196073688404856,PC-RCOT,100
Linear,Std Dev,0.030037624453868,PC-RCOT,100
GP AM,Mean,0.241535585418643,PC-RCOT,100
GP AM,Std Dev,0.026592393045703,PC-RCOT,100
GP Mix,Mean,0.234887167273494,PC-RCOT,100
GP Mix,Std Dev,0.02478019624417,PC-RCOT,100
Sigmoid AM,Mean,0.536995757998849,PC-RCOT,100
Sigmoid AM,Std Dev,0.039534654498786,PC-RCOT,100
Sigmoid Mix,Mean,0.210451194946093,PC-RCOT,100
Sigmoid Mix,Std Dev,0.040547536773457,PC-RCOT,100
NN,Mean,0.185806234009687,PC-RCOT,100
NN,Std Dev,0.030455402022292,PC-RCOT,100
Syntren,Mean,0.072800822860559,PC-RCOT,100
Syntren,Std Dev,0.016718881540831,PC-RCOT,100
Linear,Mean,0.172578,PC-RCIT,100
Linear,Std Dev,0.027334,PC-RCIT,100
GP AM,Mean,0.267214,PC-RCIT,100
GP AM,Std Dev,0.031618,PC-RCIT,100
GP Mix,Mean,0.210611,PC-RCIT,100
GP Mix,Std Dev,0.016956,PC-RCIT,100
Sigmoid AM,Mean,0.357681,PC-RCIT,100
Sigmoid AM,Std Dev,0.029876,PC-RCIT,100
Sigmoid Mix,Mean,0.187699,PC-RCIT,100
Sigmoid Mix,Std Dev,0.02233,PC-RCIT,100
NN,Mean,0.167623,PC-RCIT,100
NN,Std Dev,0.011742,PC-RCIT,100
Syntren,Mean,0.067454109026142,PC-RCIT,100
Syntren,Std Dev,0.01496982027789,PC-RCIT,100
Linear,Mean,0.379669,GES,100
Linear,Std Dev,0.07603,GES,100
GP AM,Mean,0.283976,GES,100
GP AM,Std Dev,0.047365,GES,100
GP Mix,Mean,0.230227,GES,100
GP Mix,Std Dev,0.023445,GES,100
Sigmoid AM,Mean,0.579779,GES,100
Sigmoid AM,Std Dev,0.05872,GES,100
Sigmoid Mix,Mean,0.374559,GES,100
Sigmoid Mix,Std Dev,0.062734,GES,100
NN,Mean,0.335649,GES,100
NN,Std Dev,0.061693,GES,100
Syntren,Mean,0.056959652802084,GES,100
Syntren,Std Dev,0.007687717022832,GES,100
Linear,Mean,0.378765,GIES,100
Linear,Std Dev,0.084003,GIES,100
GP AM,Mean,0.272653,GIES,100
GP AM,Std Dev,0.047135,GIES,100
GP Mix,Mean,0.23437,GIES,100
GP Mix,Std Dev,0.031966,GIES,100
Sigmoid AM,Mean,0.586928,GIES,100
Sigmoid AM,Std Dev,0.044,GIES,100
Sigmoid Mix,Mean,0.376277,GIES,100
Sigmoid Mix,Std Dev,0.065889,GIES,100
NN,Mean,0.332383,GIES,100
NN,Std Dev,0.055952,GIES,100
Syntren,Mean,0.058030158063593,GIES,100
Syntren,Std Dev,0.008511012478156,GIES,100
Linear,Mean,0.221513,LiNGAM,100
Linear,Std Dev,0.049825,LiNGAM,100
GP AM,Mean,0.034153,LiNGAM,100
GP AM,Std Dev,0.002622,LiNGAM,100
GP Mix,Mean,0.032669,LiNGAM,100
