V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
-2.457725913577552,-2.266765755619897,-2.1348042855222635,0.9626955946607729,-2.5961150506842277,-2.5474413186901765,-0.4530385840934654,-2.7422510137159066,-0.21421322098687265,-2.7536770516247966,-2.400311791976249,-2.328015716769158,-0.5010631109071705,-3.0574137266224612,-2.377798436912481,-2.6592166042240297,0.8722839581910669,0.24861308539477792,-0.9061134473860736,1.025277105416988
-3.027183370466726,-1.6528587847550138,-2.62859273376964,0.09375299931876498,-3.0924416702084683,-2.8134666832740383,-0.9854277018804458,-2.6908404184441403,-0.3786133805445254,-2.891936506249765,-2.990487110979498,-2.693636678619938,-0.5036532590513365,-2.5892034647081688,-2.7528645947282913,-2.7771562925496798,0.6271492548380371,-0.1652961715029338,-1.2715116487331934,-0.22753741545529368
-2.600203286464094,-1.868170915972003,-2.0515532030032877,0.39563006728844446,-1.6439444199060556,-2.3280630708048693,-1.6113308331569587,-2.341830546026052,-1.9075946779712751,-2.405391268947568,-2.6454575027080827,-2.444586560517675,-1.5996391006054593,-1.1933929200376958,-2.7114651133598655,-2.3671370824941373,0.49021134343407097,-1.238027421970885,-1.2064127564232239,-0.27764212299165414
-1.8845340590493134,-1.513669899739413,-1.345472027368818,0.6691956741531324,-2.249502549476734,-1.8647048008300267,-0.512183596907477,-1.6114270722202626,-0.48007544511872685,-1.9884074850830094,-2.1726113582326696,-1.5337653156747348,-0.5029401165114907,-1.510580928183416,-1.9601960914535173,-1.8260197989276408,0.5594734298905681,-0.17465536537788476,-0.7321846192275896,0.22468882743484447
-2.6750099388439414,-0.7304520800934249,-2.323553769697756,0.4773928111250255,-2.607028195824087,-2.233068558137298,-2.0803895509695214,-2.486704845333508,-1.5686685359545414,-2.4825787748750203,-2.7417730209593496,-2.76548954809536,-2.571211705367633,-1.4252889582436943,-2.02443146134645,-2.2868269043340685,0.640285228538089,-0.7489325653909741,-1.1514973033580849,-0.4231511916422853
-2.4522548470467456,-2.415308696180164,-2.7223749303020406,0.16381083838128008,-2.2014842537923176,-2.7853967212437367,-0.9767401291583884,-2.3149579704550955,-0.3871819361878666,-2.6483389073437915,-2.361482141881403,-2.451150035255523,-0.9520437692443688,-1.9659207027528014,-2.580340102731909,-2.7101111295590266,0.5642510483469408,0.06312162725496216,-1.28767744426912,-0.32503189175615127
-2.678466292141766,-1.8887302205874845,-2.4976484883286454,0.747171117977271,-2.5571383381232127,-2.6250493819419294,-1.6403167115084532,-2.7549231533392367,-1.4966019777434836,-2.956246165519558,-3.1513280922307216,-3.1306801400116284,-1.4544134726381615,-0.6630712545032542,-2.8570304930769748,-2.703149658685854,0.7740131312605221,-1.0041122014071162,-1.1695083756308862,0.14214377726701086
-2.262505382045433,-2.793301611891234,-2.483854287668831,0.5055414750188715,-2.608637042268977,-2.8910404051734306,-1.5841364164415654,-2.126147964822707,-1.0765450475103076,-2.883204076648191,-2.5810222730693777,-2.95896744604685,-1.5421863315093762,-2.5170005233388815,-2.887732169004582,-2.7527872095502004,-0.32155223376227887,-0.7054619411827224,-1.9826781103055466,-0.01871923480082211
-2.915649556089189,-0.9203632406696772,-2.398892945827955,0.178511712783957,-3.5150874224076065,-2.5609174098211946,-0.5754565202207309,-2.8063249564979205,-1.6401918082107316,-2.8144229403059753,-2.8404387697379265,-2.306417900407434,-0.8497435155533203,-0.7834966839817246,-2.4533805635772206,-2.5996975730126026,1.1358327715158285,-0.6896097542640335,-0.7454721836771399,-0.13242975293065934
-2.3097592837231455,-2.562620005467991,-2.2391663341747186,0.19928669790704703,-2.1080696341964855,-2.6865961035303827,-1.963250777426614,-2.2932558267022918,-2.09208401813857,-2.7296786375020963,-2.686171251738775,-3.0985958306033847,-1.6030761968560725,-1.4116795410345793,-2.9394203882146535,-2.6465994873753242,1.0906747180899241,-0.7231157539676365,-1.0852779808651813,-0.3646582760551955
