AUPR,DAG 0.1,DAG 0.2,DAG 0.3,DAG 0.4,DAG 0.5,DAG 0.6,DAG 0.7,DAG 0.8,DAG 0.9,SHD 0.1,SHD 0.2,SHD 0.3,SHD 0.4,SHD 0.5,SHD 0.6,SHD 0.7,SHD 0.8,SHD 0.9,dagloss,dagpenalization,dagpenalization_increase,dagstart,dlr,dnh,filter_threshold,functionalComplexity,lambda1,lambda2,linear,losstype,lr,nh,numberHiddenLayersG,sampletype,test_epochs,train_epochs,use_filter
0.5611603344417079,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,144.0,89.0,70.0,49.0,40.0,36.0,33.0,36.0,39.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,0.1,0.0001,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.590915598976157,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,40.0,36.0,35.0,31.0,30.0,32.0,36.0,37.0,42.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,100.0,0.0001,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.6606366681049498,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,60.0,42.0,36.0,36.0,35.0,33.0,31.0,32.0,31.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,10.0,1.0,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.6694780432249234,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,58.0,36.0,41.0,36.0,32.0,31.0,29.0,30.0,30.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,10.0,0.001,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.668932783143708,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,109.0,72.0,53.0,48.0,45.0,36.0,30.0,30.0,28.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,1.0,0.1,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.5929511105676436,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,137.0,81.0,53.0,40.0,36.0,35.0,34.0,36.0,41.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,0.1,1.0,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.5820767965440734,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,41.0,39.0,36.0,37.0,33.0,34.0,34.0,39.0,43.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,100.0,1.0,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.684435299374096,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,54.0,39.0,35.0,35.0,35.0,30.0,30.0,30.0,28.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,10.0,0.0001,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.6887533228685055,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,110.0,79.0,53.0,47.0,42.0,34.0,31.0,29.0,29.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,1.0,0.0001,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.6986731195775228,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,109.0,75.0,55.0,47.0,39.0,37.0,33.0,30.0,28.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,1.0,0.001,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.6728302375549685,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,106.0,73.0,54.0,47.0,42.0,36.0,30.0,27.0,29.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,1.0,0.01,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.6498136983704522,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,97.0,57.0,51.0,46.0,39.0,35.0,35.0,35.0,31.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,1.0,1.0,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.3517736005623001,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,42.0,41.0,44.0,42.0,43.0,44.0,44.0,44.0,44.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,1000.0,0.01,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.3775607731553235,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,42.0,41.0,43.0,40.0,41.0,44.0,44.0,44.0,44.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,1000.0,0.001,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.6686931804095575,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53.0,41.0,37.0,35.0,32.0,29.0,30.0,29.0,31.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,10.0,0.1,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.30627219256670674,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,44.0,45.0,42.0,42.0,45.0,44.0,44.0,44.0,44.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,1000.0,1.0,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.5931698775464451,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,141.0,90.0,65.0,49.0,38.0,31.0,33.0,35.0,41.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,0.1,0.1,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.615791745378478,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,39.0,36.0,32.0,31.0,31.0,32.0,35.0,41.0,43.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,100.0,0.1,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.36548980929923813,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,41.0,42.0,44.0,42.0,42.0,44.0,44.0,44.0,44.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,1000.0,0.0001,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.561958390412554,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,151.0,91.0,70.0,50.0,40.0,36.0,35.0,35.0,40.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,0.1,0.001,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.6079014486434065,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,40.0,38.0,35.0,31.0,31.0,35.0,38.0,41.0,44.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,100.0,0.001,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.6752078314528954,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,59.0,40.0,38.0,34.0,33.0,32.0,29.0,31.0,28.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,10.0,0.01,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.5618340290694908,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,140.0,90.0,74.0,54.0,44.0,35.0,32.0,33.0,37.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,0.1,0.01,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
