AUPR,DAG 0.1,DAG 0.2,DAG 0.3,DAG 0.4,DAG 0.5,DAG 0.6,DAG 0.7,DAG 0.8,DAG 0.9,SHD 0.1,SHD 0.2,SHD 0.3,SHD 0.4,SHD 0.5,SHD 0.6,SHD 0.7,SHD 0.8,SHD 0.9,dagloss,dlr,dnh,filter_threshold,functionalComplexity,lambda1,lambda2,linear,losstype,lr,nh,numberHiddenLayersG,sampletype,test_epochs,train_epochs,use_filter
0.12211590904056221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.0,299.0,271.0,258.0,255.0,255.0,252.0,247.0,246.0,0.0,0.001,200.0,0.5,l2_norm,10.0,1.0,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.12389791797463447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,365.0,280.0,266.0,258.0,256.0,251.0,250.0,245.0,248.0,0.0,0.001,200.0,0.5,l2_norm,10.0,0.1,0.0,fgan,0.01,20.0,1.0,sigmoidproba,1000.0,3000.0,0.0
0.12498366938008731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,315.0,267.0,255.0,252.0,250.0,248.0,245.0,248.0,249.0,0.0,0.01,200.0,0.5,l2_norm,10.0,0.0001,0.0,fgan,0.01,20.0,1.0,sigmoidproba,1000.0,3000.0,0.0
0.1319423006189396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,390.0,292.0,267.0,257.0,256.0,250.0,251.0,247.0,250.0,0.0,0.001,200.0,0.5,l2_norm,10.0,0.1,0.0,fgan,0.01,100.0,1.0,sigmoidproba,1000.0,3000.0,0.0
0.12412357332127465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,386.0,298.0,268.0,261.0,255.0,254.0,252.0,246.0,248.0,0.0,0.001,200.0,0.5,l2_norm,10.0,0.01,0.0,fgan,0.01,20.0,1.0,sigmoidproba,1000.0,3000.0,0.0
0.1289170414035799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0,312.0,274.0,264.0,259.0,255.0,251.0,250.0,249.0,0.0,0.001,200.0,0.5,l2_norm,10.0,1.0,0.0,fgan,0.01,100.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.13040540548058444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,284.0,255.0,254.0,252.0,250.0,247.0,247.0,249.0,249.0,0.0,0.01,200.0,0.5,l2_norm,10.0,0.1,0.0,fgan,0.01,100.0,1.0,sigmoidproba,1000.0,3000.0,0.0
0.12384972550754467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,324.0,262.0,258.0,255.0,252.0,248.0,247.0,247.0,249.0,0.0,0.01,200.0,0.5,l2_norm,10.0,1.0,0.0,fgan,0.01,100.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.1266241227420597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,282.0,259.0,250.0,250.0,247.0,247.0,246.0,248.0,249.0,0.0,0.01,200.0,0.5,l2_norm,10.0,1.0,0.0,fgan,0.01,100.0,3.0,sigmoidproba,1000.0,3000.0,0.0
0.11671338975352813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,336.0,274.0,257.0,252.0,249.0,248.0,245.0,250.0,249.0,0.0,0.01,200.0,0.5,l2_norm,10.0,0.001,0.0,fgan,0.01,20.0,3.0,sigmoidproba,1000.0,3000.0,0.0
0.1252677295062795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,340.0,272.0,267.0,256.0,254.0,250.0,247.0,247.0,249.0,0.0,0.01,200.0,0.5,l2_norm,10.0,0.001,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.12134729379498285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.0,300.0,271.0,259.0,255.0,256.0,250.0,248.0,246.0,0.0,0.001,200.0,0.5,l2_norm,10.0,1.0,0.0,fgan,0.01,100.0,1.0,sigmoidproba,1000.0,3000.0,0.0
0.1304522588116103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,416.0,304.0,271.0,262.0,257.0,256.0,250.0,246.0,250.0,0.0,0.001,200.0,0.5,l2_norm,10.0,0.001,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.13012698987989973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,341.0,269.0,257.0,256.0,249.0,247.0,246.0,247.0,249.0,0.0,0.01,200.0,0.5,l2_norm,10.0,0.0001,0.0,fgan,0.01,100.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.12286549720401392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,313.0,280.0,263.0,259.0,254.0,252.0,250.0,247.0,0.0,0.001,200.0,0.5,l2_norm,10.0,0.1,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.12187031922849306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,448.0,326.0,291.0,265.0,260.0,254.0,253.0,250.0,250.0,0.0,0.001,200.0,0.5,l2_norm,10.0,0.01,0.0,fgan,0.01,100.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.12681350119168142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,336.0,266.0,254.0,252.0,251.0,251.0,247.0,247.0,249.0,0.0,0.01,200.0,0.5,l2_norm,10.0,0.01,0.0,fgan,0.01,20.0,1.0,sigmoidproba,1000.0,3000.0,0.0
0.11683841822460461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,346.0,274.0,256.0,255.0,252.0,250.0,246.0,247.0,249.0,0.0,0.01,200.0,0.5,l2_norm,10.0,0.1,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.13556517465865436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,399.0,290.0,265.0,262.0,256.0,253.0,250.0,245.0,248.0,0.0,0.001,200.0,0.5,l2_norm,10.0,0.0001,0.0,fgan,0.01,20.0,1.0,sigmoidproba,1000.0,3000.0,0.0
0.11812867347152303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,337.0,267.0,255.0,252.0,250.0,249.0,247.0,250.0,249.0,0.0,0.01,200.0,0.5,l2_norm,10.0,0.1,0.0,fgan,0.01,20.0,3.0,sigmoidproba,1000.0,3000.0,0.0
0.12015439671533093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,361.0,276.0,257.0,255.0,250.0,248.0,246.0,249.0,249.0,0.0,0.01,200.0,0.5,l2_norm,10.0,0.01,0.0,fgan,0.01,100.0,3.0,sigmoidproba,1000.0,3000.0,0.0
0.12175151771034165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,442.0,333.0,287.0,266.0,261.0,254.0,251.0,251.0,250.0,0.0,0.001,200.0,0.5,l2_norm,10.0,0.0001,0.0,fgan,0.01,100.0,3.0,sigmoidproba,1000.0,3000.0,0.0
0.11867034408469379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,350.0,271.0,258.0,255.0,249.0,250.0,248.0,250.0,249.0,0.0,0.01,200.0,0.5,l2_norm,10.0,0.0001,0.0,fgan,0.01,100.0,3.0,sigmoidproba,1000.0,3000.0,0.0
