AUPR,DAG 0.1,DAG 0.2,DAG 0.3,DAG 0.4,DAG 0.5,DAG 0.6,DAG 0.7,DAG 0.8,DAG 0.9,SHD 0.1,SHD 0.2,SHD 0.3,SHD 0.4,SHD 0.5,SHD 0.6,SHD 0.7,SHD 0.8,SHD 0.9,dagloss,dagpenalization,dagpenalization_increase,dagstart,dlr,dnh,filter_threshold,functionalComplexity,lambda1,lambda2,linear,losstype,lr,nh,numberHiddenLayersG,sampletype,test_epochs,train_epochs,use_filter
0.44823532625898976,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,84.0,69.0,59.0,48.0,43.0,44.0,46.0,46.0,44.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,10.0,0.0001,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.36545153923969276,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,67.0,58.0,53.0,49.0,46.0,49.0,49.0,47.0,45.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,100.0,0.0,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.3852008639432769,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,120.0,82.0,69.0,62.0,56.0,51.0,51.0,48.0,48.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,1.0,1.0,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.3561019303984028,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,65.0,53.0,50.0,48.0,47.0,47.0,50.0,47.0,45.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,100.0,0.01,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.2794530710587681,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,155.0,121.0,92.0,75.0,60.0,53.0,55.0,50.0,47.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,0.1,1.0,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.44010378502300923,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,123.0,93.0,83.0,61.0,51.0,49.0,49.0,46.0,45.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,1.0,0.0001,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.3427029889219056,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,52.0,47.0,47.0,45.0,45.0,45.0,48.0,48.0,48.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,1000.0,0.0001,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.37179866456552013,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,70.0,53.0,49.0,48.0,46.0,46.0,48.0,46.0,47.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,100.0,0.001,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.2593685827595762,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,150.0,105.0,76.0,69.0,63.0,54.0,50.0,49.0,48.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,0.1,0.0001,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.27385066399800373,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,153.0,102.0,82.0,70.0,59.0,52.0,49.0,48.0,49.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,0.1,0.01,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.3171427289241348,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,52.0,48.0,48.0,45.0,45.0,44.0,47.0,48.0,48.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,1000.0,0.01,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.293518642356131,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,53.0,49.0,47.0,49.0,46.0,45.0,47.0,48.0,48.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,1000.0,1.0,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.4264928013577181,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,129.0,98.0,82.0,70.0,51.0,49.0,48.0,46.0,45.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,1.0,0.001,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.37338061619648166,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,67.0,53.0,49.0,51.0,49.0,48.0,47.0,47.0,47.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,100.0,0.0001,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
