AUPR,DAG 0.1,DAG 0.2,DAG 0.3,DAG 0.4,DAG 0.5,DAG 0.6,DAG 0.7,DAG 0.8,DAG 0.9,SHD 0.1,SHD 0.2,SHD 0.3,SHD 0.4,SHD 0.5,SHD 0.6,SHD 0.7,SHD 0.8,SHD 0.9,dagloss,dagpenalization,dagpenalization_increase,dagstart,dlr,dnh,filter_threshold,functionalComplexity,lambda1,lambda2,linear,losstype,lr,nh,numberHiddenLayersG,sampletype,test_epochs,train_epochs,use_filter
0.4469122015216419,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,43.0,34.0,30.0,25.0,24.0,23.0,22.0,23.0,24.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,100.0,0.1,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.46630840174420757,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,48.0,35.0,31.0,27.0,22.0,22.0,20.0,23.0,24.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,100.0,0.01,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.7262804291795077,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,61.0,40.0,32.0,21.0,18.0,14.0,15.0,16.0,20.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,10.0,0.0001,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.3516598225966038,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,34.0,27.0,25.0,22.0,22.0,23.0,24.0,24.0,24.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,1000.0,0.0001,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.4617212500416075,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,46.0,35.0,34.0,29.0,23.0,22.0,20.0,23.0,24.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,100.0,0.001,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.6380461064157534,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,113.0,72.0,48.0,33.0,23.0,19.0,14.0,18.0,21.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,1.0,0.1,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.11357602626793387,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,257.0,166.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,0.1,0.1,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.775513414996192,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,67.0,38.0,29.0,25.0,18.0,13.0,14.0,15.0,18.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,10.0,0.001,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.35803958268940017,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,27.0,24.0,21.0,21.0,24.0,24.0,24.0,24.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,1000.0,0.1,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
0.6450832728750054,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,121.0,65.0,51.0,31.0,26.0,16.0,14.0,17.0,22.0,1.0,0.0,0.01,0.5,0.001,200.0,0.5,l2_norm,1.0,0.0001,0.0,fgan,0.01,20.0,2.0,sigmoidproba,1000.0,3000.0,0.0
