lr,dlr,lambda1,lambda2,nh,dnh,losstype,sampletype,train_epochs,test_epochs,dagstart,dagloss,dagpenalization,dagpenalization_increase,use_filter,filter_threshold,linear,AUPR,SHD 0.1,SHD 0.2,SHD 0.3,SHD 0.4,SHD 0.5,SHD 0.6,SHD 0.7,SHD 0.8,SHD 0.9,DAG 0.1,DAG 0.2,DAG 0.3,DAG 0.4,DAG 0.5,DAG 0.6,DAG 0.7,DAG 0.8,DAG 0.9
0.01,0.01,0.1,0.01,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.4435888769126075,228.0,44.0,40.0,41.0,43.0,43.0,44.0,44.0,44.0,False,False,True,True,True,True,True,True,True
0.01,0.01,0.5,0.01,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.519527348713672,129.0,69.0,39.0,34.0,37.0,36.0,39.0,43.0,44.0,False,False,False,True,True,True,True,True,True
0.01,0.01,0.5,0.005,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.5357695239887936,142.0,67.0,41.0,35.0,34.0,38.0,43.0,44.0,44.0,False,False,False,True,True,True,True,True,True
0.01,0.01,1.0,0.001,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.6236642862762259,161.0,111.0,75.0,43.0,35.0,32.0,31.0,34.0,43.0,False,False,False,False,True,True,True,True,True
0.01,0.01,50.0,0.1,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.4991690731630813,51.0,45.0,42.0,42.0,41.0,40.0,38.0,41.0,43.0,False,False,False,True,True,True,True,True,True
0.01,0.01,0.5,0.1,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.5234553499764575,149.0,79.0,49.0,32.0,35.0,37.0,40.0,43.0,44.0,False,False,False,False,True,True,True,True,True
0.01,0.01,0.1,0.1,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.4733012804306477,196.0,42.0,37.0,40.0,42.0,44.0,43.0,44.0,44.0,False,False,True,True,True,True,True,True,True
0.01,0.01,1.0,0.0001,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.5955453951878434,162.0,112.0,71.0,44.0,37.0,28.0,34.0,39.0,44.0,False,False,False,True,True,True,True,True,True
0.01,0.01,1.0,0.005,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.6277982271966333,158.0,113.0,69.0,45.0,36.0,31.0,31.0,38.0,43.0,False,False,False,False,True,True,True,True,True
0.01,0.01,5.0,0.001,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.6485531800728063,96.0,64.0,47.0,44.0,39.0,34.0,34.0,32.0,35.0,False,False,False,False,True,True,True,True,True
0.01,0.01,0.5,0.0001,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.5316348897641928,137.0,64.0,40.0,34.0,38.0,35.0,42.0,43.0,44.0,False,False,False,True,True,True,True,True,True
0.01,0.01,0.1,0.0001,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.33733528727455303,253.0,46.0,40.0,44.0,44.0,44.0,44.0,44.0,44.0,False,True,True,True,True,True,True,True,True
0.01,0.01,1.0,0.1,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.6262560986094301,167.0,114.0,68.0,48.0,34.0,31.0,31.0,33.0,42.0,False,False,False,True,True,True,True,True,True
0.01,0.01,50.0,0.001,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.5607751409417837,49.0,43.0,41.0,37.0,38.0,35.0,40.0,43.0,44.0,False,False,False,False,True,True,True,True,True
0.01,0.01,100.0,0.0005,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.4542469749426574,47.0,44.0,41.0,40.0,42.0,43.0,42.0,43.0,44.0,False,False,False,True,True,True,True,True,True
