lr,dlr,lambda1,lambda2,nh,numberHiddenLayersG,dnh,losstype,functionalComplexity,sampletype,train_epochs,test_epochs,dagstart,dagloss,dagpenalization,dagpenalization_increase,use_filter,filter_threshold,linear,AUPR,SHD 0.1,SHD 0.2,SHD 0.3,SHD 0.4,SHD 0.5,SHD 0.6,SHD 0.7,SHD 0.8,SHD 0.9,DAG 0.1,DAG 0.2,DAG 0.3,DAG 0.4,DAG 0.5,DAG 0.6,DAG 0.7,DAG 0.8,DAG 0.9
0.01,0.01,1000.0,0.01,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.2322391513634633,48.0,48.0,49.0,47.0,47.0,44.0,43.0,43.0,44.0,False,True,True,True,True,True,True,True,True
0.01,0.01,1.0,0.001,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.4372657850256517,150.0,70.0,46.0,40.0,40.0,40.0,45.0,43.0,44.0,False,False,False,True,True,True,True,True,True
0.01,0.01,0.1,0.01,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.09199547124848054,334.0,268.0,93.0,46.0,44.0,44.0,44.0,44.0,44.0,False,False,True,True,True,True,True,True,True
0.01,0.01,1000.0,0.001,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.2524063862932173,49.0,49.0,47.0,46.0,47.0,44.0,43.0,43.0,44.0,False,False,True,True,True,True,True,True,True
0.01,0.01,1.0,0.01,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.4275382405667663,154.0,69.0,48.0,43.0,41.0,41.0,43.0,43.0,43.0,False,False,False,True,True,True,True,True,True
0.01,0.01,1.0,0.1,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.4384860190354406,144.0,91.0,51.0,45.0,39.0,38.0,41.0,43.0,43.0,False,False,False,True,True,True,True,True,True
0.01,0.01,0.1,0.001,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.08900890540735452,334.0,276.0,95.0,46.0,44.0,44.0,44.0,44.0,44.0,False,False,True,True,True,True,True,True,True
0.01,0.01,100.0,0.01,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.4791128855440521,49.0,42.0,41.0,41.0,41.0,40.0,41.0,42.0,43.0,False,False,False,False,True,True,True,True,True
0.01,0.01,0.1,0.0001,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.09561469424393182,333.0,272.0,88.0,46.0,44.0,44.0,44.0,44.0,44.0,False,False,True,True,True,True,True,True,True
0.01,0.01,10.0,0.0001,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.5278632254611443,89.0,60.0,49.0,46.0,43.0,38.0,39.0,40.0,38.0,False,False,False,False,True,True,True,True,True
0.01,0.01,1000.0,0.1,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.23556946595947473,49.0,47.0,48.0,47.0,47.0,44.0,43.0,44.0,44.0,False,True,True,True,True,True,True,True,True
0.01,0.01,1000.0,0.0001,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.27208639203396334,49.0,49.0,47.0,48.0,46.0,43.0,43.0,44.0,44.0,False,False,True,True,True,True,True,True,True
0.01,0.01,10.0,0.1,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.5159372919684719,90.0,62.0,53.0,44.0,39.0,38.0,39.0,40.0,38.0,False,False,False,False,True,True,True,True,True
0.01,0.01,0.1,1.0,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.2279286461117525,299.0,122.0,44.0,44.0,43.0,44.0,44.0,44.0,44.0,False,False,True,True,True,True,True,True,True
0.01,0.01,1000.0,1.0,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.22254860088955575,50.0,50.0,48.0,47.0,47.0,45.0,43.0,43.0,44.0,False,False,True,True,True,True,True,True,True
0.01,0.01,100.0,0.1,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.41690206687415865,51.0,42.0,42.0,40.0,42.0,43.0,40.0,45.0,44.0,False,False,False,True,True,True,True,True,True
0.01,0.01,1.0,1.0,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.42057638430308164,145.0,93.0,60.0,49.0,41.0,41.0,42.0,42.0,44.0,False,False,False,False,True,True,True,True,True
0.01,0.01,100.0,1.0,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.3934953729678077,50.0,47.0,43.0,41.0,44.0,43.0,42.0,43.0,45.0,False,False,False,True,True,True,True,True,True
