lr,dlr,lambda1,lambda2,nh,dnh,losstype,sampletype,train_epochs,test_epochs,dagstart,dagloss,dagpenalization,dagpenalization_increase,use_filter,filter_threshold,linear,AUPR,SHD 0.1,SHD 0.2,SHD 0.3,SHD 0.4,SHD 0.5,SHD 0.6,SHD 0.7,SHD 0.8,SHD 0.9,DAG 0.1,DAG 0.2,DAG 0.3,DAG 0.4,DAG 0.5,DAG 0.6,DAG 0.7,DAG 0.8,DAG 0.9
0.01,0.01,50.0,0.0001,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.38887665000204336,68.0,50.0,44.0,39.0,38.0,43.0,44.0,43.0,43.0,False,False,False,True,True,True,True,True,True
0.01,0.01,0.5,0.1,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.2892522781634763,266.0,64.0,40.0,40.0,41.0,42.0,43.0,43.0,43.0,False,False,True,True,True,True,True,True,True
0.01,0.01,100.0,0.05,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.38279449697556084,62.0,47.0,43.0,42.0,40.0,43.0,42.0,43.0,43.0,False,False,False,True,True,True,True,True,True
0.01,0.01,10.0,0.1,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.5798695118443583,97.0,61.0,44.0,40.0,36.0,35.0,36.0,35.0,36.0,False,False,False,True,True,True,True,True,True
0.01,0.01,100.0,0.001,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.416070058619143,58.0,47.0,41.0,40.0,41.0,39.0,39.0,41.0,43.0,False,False,True,True,True,True,True,True,True
0.01,0.01,1.0,0.001,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.5270980405249489,130.0,45.0,30.0,37.0,39.0,40.0,41.0,43.0,43.0,False,False,True,True,True,True,True,True,True
0.01,0.01,0.1,0.05,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.06670687602267672,336.0,332.0,159.0,44.0,43.0,43.0,43.0,43.0,43.0,False,False,False,True,True,True,True,True,True
0.01,0.01,0.5,0.01,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.270291374676791,272.0,64.0,41.0,40.0,43.0,43.0,43.0,43.0,43.0,False,False,True,True,True,True,True,True,True
0.01,0.01,0.1,0.005,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.09146681670620299,334.0,326.0,119.0,43.0,43.0,43.0,43.0,43.0,43.0,False,False,False,True,True,True,True,True,True
0.01,0.01,1.0,0.1,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.47934019948363416,138.0,46.0,35.0,38.0,38.0,40.0,40.0,41.0,43.0,False,False,True,True,True,True,True,True,True
0.01,0.01,0.1,0.0005,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.066561001947866,332.0,332.0,137.0,44.0,43.0,43.0,43.0,43.0,43.0,False,False,False,True,True,True,True,True,True
0.01,0.01,0.5,0.0001,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.29628251551320484,287.0,82.0,38.0,43.0,43.0,43.0,43.0,43.0,43.0,False,False,True,True,True,True,True,True,True
0.01,0.01,10.0,0.001,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.6065890998891775,98.0,53.0,41.0,33.0,33.0,35.0,35.0,36.0,38.0,False,False,False,False,True,True,True,True,True
0.01,0.01,100.0,0.1,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.37809646527957524,58.0,47.0,46.0,40.0,40.0,43.0,41.0,41.0,42.0,False,False,True,True,True,True,True,True,True
0.01,0.01,10.0,0.05,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.6549469419921853,80.0,53.0,41.0,35.0,33.0,35.0,33.0,33.0,34.0,False,False,False,False,True,True,True,True,True
0.01,0.01,0.5,0.001,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.1887125594147039,295.0,104.0,41.0,42.0,43.0,43.0,43.0,43.0,43.0,False,False,True,True,True,True,True,True,True
0.01,0.01,5.0,0.0005,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.5930034144728151,118.0,69.0,53.0,48.0,36.0,32.0,31.0,35.0,40.0,False,False,False,False,True,True,True,True,True
0.01,0.01,0.5,0.005,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.19269807134166084,262.0,96.0,42.0,41.0,43.0,43.0,43.0,43.0,43.0,False,False,True,True,True,True,True,True,True
0.01,0.01,0.1,0.01,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.0703779921155635,335.0,326.0,180.0,44.0,43.0,43.0,43.0,43.0,43.0,False,False,False,True,True,True,True,True,True
0.01,0.01,0.5,0.05,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.27149304378532324,261.0,80.0,39.0,41.0,43.0,43.0,43.0,43.0,43.0,False,False,True,True,True,True,True,True,True
0.01,0.01,100.0,0.0001,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.37572976450547163,56.0,46.0,41.0,40.0,43.0,44.0,43.0,43.0,43.0,False,False,True,True,True,True,True,True,True
0.01,0.01,50.0,0.1,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.4327608901007711,63.0,47.0,45.0,44.0,43.0,39.0,38.0,40.0,41.0,False,False,False,False,True,True,True,True,True
0.01,0.01,1.0,0.0001,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.4955992862407107,157.0,52.0,37.0,33.0,36.0,39.0,41.0,42.0,43.0,False,False,True,True,True,True,True,True,True
0.01,0.01,5.0,0.1,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.5359607969437636,126.0,65.0,55.0,44.0,41.0,37.0,31.0,37.0,39.0,False,False,False,False,True,True,True,True,True
0.01,0.01,10.0,0.01,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.6261723381955181,76.0,50.0,43.0,38.0,33.0,33.0,33.0,37.0,38.0,False,False,False,True,True,True,True,True,True
0.01,0.01,1.0,0.005,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.4817538133375433,151.0,40.0,36.0,39.0,41.0,40.0,41.0,43.0,43.0,False,True,True,True,True,True,True,True,True
0.01,0.01,50.0,0.0005,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.4303176129189042,59.0,48.0,44.0,45.0,41.0,40.0,42.0,41.0,43.0,False,False,False,True,True,True,True,True,True
0.01,0.01,0.1,0.1,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.07001269106408502,334.0,323.0,105.0,43.0,43.0,43.0,43.0,43.0,43.0,False,False,False,True,True,True,True,True,True
0.01,0.01,100.0,0.0005,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.38989594429771895,60.0,47.0,41.0,43.0,43.0,43.0,41.0,40.0,41.0,False,False,False,True,True,True,True,True,True
0.01,0.01,100.0,0.005,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.37039091400894525,55.0,51.0,45.0,43.0,45.0,42.0,42.0,42.0,43.0,False,False,True,True,True,True,True,True,True
0.01,0.01,50.0,0.05,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.477384605773443,64.0,46.0,43.0,37.0,35.0,39.0,42.0,42.0,42.0,False,False,False,False,True,True,True,True,True
0.01,0.01,50.0,0.005,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.4799859217792093,64.0,44.0,41.0,40.0,43.0,41.0,37.0,39.0,40.0,False,False,False,False,True,True,True,True,True
0.01,0.01,5.0,0.01,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.5701464014933125,123.0,72.0,55.0,49.0,41.0,33.0,34.0,36.0,43.0,False,False,False,True,True,True,True,True,True
0.01,0.01,10.0,0.005,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.6079934336262428,81.0,57.0,41.0,37.0,34.0,35.0,36.0,34.0,38.0,False,False,False,True,True,True,True,True,True
0.01,0.01,10.0,0.0005,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.5520973179378067,96.0,57.0,45.0,40.0,33.0,36.0,38.0,40.0,41.0,False,False,False,True,True,True,True,True,True
0.01,0.01,0.1,0.001,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.06792005403157622,335.0,328.0,117.0,43.0,43.0,43.0,43.0,43.0,43.0,False,False,False,True,True,True,True,True,True
0.01,0.01,5.0,0.0001,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.683685310512943,108.0,57.0,44.0,31.0,31.0,33.0,33.0,32.0,38.0,False,False,False,False,True,True,True,True,True
0.01,0.01,1.0,0.01,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.46389350306067445,151.0,56.0,43.0,36.0,38.0,39.0,41.0,43.0,43.0,False,True,True,True,True,True,True,True,True
0.01,0.01,1.0,0.05,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.46089800079868454,134.0,45.0,37.0,35.0,39.0,39.0,41.0,41.0,43.0,False,False,True,True,True,True,True,True,True
0.01,0.01,0.1,0.0001,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.07622319947480888,335.0,327.0,186.0,47.0,43.0,43.0,43.0,43.0,43.0,False,False,False,True,True,True,True,True,True
0.01,0.01,5.0,0.001,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.6047983147405229,126.0,72.0,51.0,45.0,40.0,35.0,31.0,34.0,36.0,False,False,False,False,True,True,True,True,True
0.01,0.01,0.5,0.0005,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.16071336526430124,278.0,91.0,42.0,43.0,43.0,43.0,43.0,43.0,43.0,False,False,True,True,True,True,True,True,True
0.01,0.01,100.0,0.01,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.44666165128290936,52.0,45.0,40.0,40.0,37.0,41.0,41.0,43.0,43.0,False,False,False,True,True,True,True,True,True
0.01,0.01,50.0,0.01,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.46707339656587626,61.0,51.0,40.0,42.0,39.0,40.0,40.0,41.0,41.0,False,False,True,True,True,True,True,True,True
0.01,0.01,1.0,0.0005,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.43941118047497363,170.0,45.0,36.0,39.0,41.0,41.0,41.0,43.0,43.0,False,False,True,True,True,True,True,True,True
