lr,dlr,lambda1,lambda2,nh,numberHiddenLayersG,dnh,losstype,functionalComplexity,sampletype,train_epochs,test_epochs,dagstart,dagloss,dagpenalization,dagpenalization_increase,use_filter,filter_threshold,linear,AUPR,SHD 0.1,SHD 0.2,SHD 0.3,SHD 0.4,SHD 0.5,SHD 0.6,SHD 0.7,SHD 0.8,SHD 0.9,DAG 0.1,DAG 0.2,DAG 0.3,DAG 0.4,DAG 0.5,DAG 0.6,DAG 0.7,DAG 0.8,DAG 0.9
0.01,0.01,1.0,0.001,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.527579209372419,202.0,69.0,35.0,33.0,35.0,39.0,39.0,41.0,42.0,False,False,True,True,True,True,True,True,True
0.01,0.01,1000.0,0.001,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.29395868471378656,50.0,42.0,44.0,44.0,42.0,41.0,40.0,42.0,43.0,False,False,True,True,True,True,True,True,True
0.01,0.01,0.1,0.001,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.08552337997880964,336.0,322.0,238.0,61.0,43.0,43.0,43.0,43.0,43.0,False,False,False,True,True,True,True,True,True
0.01,0.01,0.1,0.0001,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.08960366471976344,337.0,321.0,227.0,56.0,43.0,43.0,43.0,43.0,43.0,False,False,False,True,True,True,True,True,True
0.01,0.01,0.1,0.01,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.08696591143150983,336.0,316.0,225.0,59.0,43.0,43.0,43.0,43.0,43.0,False,False,False,True,True,True,True,True,True
0.01,0.01,1.0,0.1,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.5240787847471032,152.0,65.0,39.0,37.0,36.0,35.0,37.0,39.0,41.0,False,False,True,True,True,True,True,True,True
0.01,0.01,10.0,0.0001,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.5986742975119885,88.0,64.0,50.0,40.0,36.0,35.0,33.0,33.0,34.0,False,False,False,False,True,True,True,True,True
0.01,0.01,1.0,1.0,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.508225151318474,162.0,89.0,56.0,40.0,37.0,37.0,37.0,36.0,40.0,False,False,False,True,True,True,True,True,True
0.01,0.01,1000.0,1.0,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.2974015213178822,46.0,43.0,43.0,42.0,40.0,40.0,40.0,43.0,43.0,False,False,False,True,True,True,True,True,True
0.01,0.01,100.0,0.1,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.363192536273413,55.0,47.0,42.0,45.0,44.0,42.0,42.0,43.0,43.0,False,False,False,True,True,True,True,True,True
0.01,0.01,0.1,0.1,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.08784270032841865,335.0,292.0,168.0,46.0,43.0,43.0,43.0,43.0,43.0,False,False,False,True,True,True,True,True,True
0.01,0.01,1000.0,0.1,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.309077897011104,45.0,41.0,44.0,44.0,42.0,41.0,40.0,41.0,43.0,False,False,True,True,True,True,True,True,True
0.01,0.01,10.0,0.1,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.562583528578197,97.0,64.0,53.0,48.0,40.0,37.0,33.0,35.0,37.0,False,False,False,True,True,True,True,True,True
0.01,0.01,100.0,1.0,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.37285140458948124,55.0,48.0,44.0,45.0,45.0,41.0,43.0,41.0,42.0,False,False,False,True,True,True,True,True,True
0.01,0.01,0.1,1.0,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.14341537658169412,328.0,221.0,52.0,41.0,43.0,43.0,43.0,43.0,43.0,False,False,True,True,True,True,True,True,True
