lr,dlr,lambda1,lambda2,nh,dnh,losstype,sampletype,train_epochs,test_epochs,dagstart,dagloss,dagpenalization,dagpenalization_increase,use_filter,filter_threshold,linear,AUPR,SHD 0.1,SHD 0.2,SHD 0.3,SHD 0.4,SHD 0.5,SHD 0.6,SHD 0.7,SHD 0.8,SHD 0.9,DAG 0.1,DAG 0.2,DAG 0.3,DAG 0.4,DAG 0.5,DAG 0.6,DAG 0.7,DAG 0.8,DAG 0.9
0.01,0.01,0.5,0.005,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5299492780883619,324.0,312.0,306.0,295.0,289.0,280.0,256.0,242.0,202.0,False,False,False,False,False,False,False,False,False
0.01,0.01,10.0,0.0001,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.6900621255816238,100.0,62.0,50.0,42.0,35.0,29.0,33.0,30.0,35.0,False,False,False,False,False,False,False,False,False
0.01,0.01,1.0,0.005,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.6318430752306122,303.0,279.0,268.0,250.0,226.0,209.0,189.0,159.0,123.0,False,False,False,False,False,False,False,False,False
0.01,0.01,0.5,0.01,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5368656835500503,319.0,312.0,307.0,299.0,290.0,281.0,259.0,244.0,215.0,False,False,False,False,False,False,False,False,False
0.01,0.01,100.0,0.1,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5302470558098091,49.0,44.0,38.0,39.0,39.0,37.0,38.0,39.0,43.0,False,False,False,False,False,False,False,True,True
0.01,0.01,100.0,0.0001,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5407305935058769,52.0,45.0,33.0,36.0,35.0,39.0,39.0,43.0,44.0,False,False,False,False,False,False,False,True,True
0.01,0.01,5.0,0.05,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5902394740482763,117.0,85.0,68.0,58.0,51.0,42.0,33.0,30.0,31.0,False,False,False,False,False,False,False,False,False
0.01,0.01,100.0,0.01,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5467919892059452,45.0,44.0,36.0,35.0,37.0,37.0,39.0,42.0,44.0,False,False,False,False,False,False,False,True,True
0.01,0.01,1.0,0.1,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5736217220665676,308.0,283.0,261.0,231.0,207.0,189.0,156.0,126.0,82.0,False,False,False,False,False,False,False,False,False
0.01,0.01,5.0,0.005,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5837047271070626,140.0,86.0,72.0,58.0,50.0,41.0,34.0,26.0,33.0,False,False,False,False,False,False,False,False,False
0.01,0.01,0.1,0.0001,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.3975708788700849,334.0,331.0,331.0,329.0,327.0,327.0,324.0,319.0,306.0,False,False,False,False,False,False,False,False,False
0.01,0.01,0.5,0.001,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.4080455846777984,325.0,318.0,309.0,302.0,292.0,282.0,262.0,247.0,207.0,False,False,False,False,False,False,False,False,False
0.01,0.01,1.0,0.0005,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5719569129758412,314.0,295.0,282.0,267.0,248.0,229.0,199.0,172.0,131.0,False,False,False,False,False,False,False,False,False
0.01,0.01,100.0,0.0005,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5606804885473615,49.0,40.0,35.0,34.0,35.0,34.0,37.0,43.0,43.0,False,False,False,False,False,False,False,True,True
0.01,0.01,0.5,0.1,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5396296704489112,328.0,316.0,309.0,295.0,283.0,270.0,254.0,232.0,192.0,False,False,False,False,False,False,False,False,False
