lr,dlr,lambda1,lambda2,nh,numberHiddenLayersG,dnh,losstype,functionalComplexity,sampletype,train_epochs,test_epochs,dagstart,dagloss,dagpenalization,dagpenalization_increase,use_filter,filter_threshold,linear,AUPR,SHD 0.1,SHD 0.2,SHD 0.3,SHD 0.4,SHD 0.5,SHD 0.6,SHD 0.7,SHD 0.8,SHD 0.9,DAG 0.1,DAG 0.2,DAG 0.3,DAG 0.4,DAG 0.5,DAG 0.6,DAG 0.7,DAG 0.8,DAG 0.9
0.01,0.01,0.1,1.0,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.11913895750573467,324.0,291.0,228.0,94.0,53.0,44.0,44.0,44.0,44.0,False,False,False,True,True,True,True,True,True
0.01,0.01,100.0,0.1,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.5778174319075249,40.0,37.0,35.0,35.0,34.0,35.0,37.0,37.0,39.0,False,False,False,False,True,True,True,True,True
0.01,0.01,100.0,0.001,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.6075211086374531,41.0,36.0,30.0,31.0,33.0,35.0,37.0,39.0,41.0,False,False,False,False,True,True,True,True,True
0.01,0.01,10.0,1.0,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.6999724507078451,66.0,42.0,34.0,27.0,26.0,28.0,32.0,35.0,38.0,False,False,False,False,True,True,True,True,True
0.01,0.01,0.1,0.01,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.11521234497189556,332.0,312.0,280.0,156.0,84.0,50.0,45.0,44.0,44.0,False,False,False,False,True,True,True,True,True
0.01,0.01,1.0,0.001,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.33571596281521277,262.0,149.0,41.0,42.0,44.0,44.0,44.0,44.0,44.0,False,False,True,True,True,True,True,True,True
0.01,0.01,1.0,0.1,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.5495380975199159,221.0,48.0,34.0,39.0,40.0,43.0,43.0,44.0,44.0,False,False,False,True,True,True,True,True,True
0.01,0.01,1000.0,0.1,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.4335093755827187,39.0,39.0,41.0,42.0,43.0,44.0,44.0,44.0,44.0,False,False,True,True,True,True,True,True,True
0.01,0.01,1.0,0.01,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.4471079702996708,249.0,106.0,41.0,41.0,43.0,44.0,44.0,44.0,44.0,False,False,True,True,True,True,True,True,True
0.01,0.01,0.1,0.001,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.12171753148578776,330.0,311.0,276.0,165.0,89.0,50.0,46.0,44.0,44.0,False,False,False,False,True,True,True,True,True
0.01,0.01,1000.0,0.01,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.3700125689710537,41.0,38.0,41.0,41.0,44.0,44.0,44.0,44.0,44.0,False,False,True,True,True,True,True,True,True
0.01,0.01,10.0,0.0001,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.7886128342102403,58.0,38.0,26.0,21.0,20.0,17.0,20.0,24.0,31.0,False,False,True,True,True,True,True,True,True
0.01,0.01,1000.0,0.001,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.3932070970751593,39.0,41.0,41.0,43.0,44.0,44.0,44.0,44.0,44.0,False,True,True,True,True,True,True,True,True
0.01,0.01,10.0,0.001,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.7703012575725028,57.0,35.0,27.0,22.0,19.0,22.0,23.0,25.0,33.0,False,False,False,True,True,True,True,True,True
0.01,0.01,1.0,1.0,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.59473996838566,172.0,45.0,33.0,34.0,41.0,40.0,41.0,43.0,44.0,False,False,False,True,True,True,True,True,True
0.01,0.01,100.0,0.0001,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.5832708983144553,44.0,38.0,35.0,33.0,35.0,34.0,37.0,39.0,43.0,False,False,False,True,True,True,True,True,True
0.01,0.01,1000.0,1.0,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.306454492404502,42.0,42.0,42.0,44.0,44.0,44.0,44.0,44.0,44.0,False,False,True,True,True,True,True,True,True
0.01,0.01,100.0,1.0,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.5306690461288448,44.0,41.0,37.0,37.0,37.0,37.0,36.0,38.0,43.0,False,False,False,False,True,True,True,True,True
0.01,0.01,0.1,0.1,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.11238795094935516,327.0,300.0,255.0,132.0,73.0,46.0,44.0,44.0,44.0,False,False,False,True,True,True,True,True,True
0.01,0.01,10.0,0.01,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.7339618265291902,58.0,36.0,22.0,23.0,18.0,20.0,23.0,28.0,36.0,False,False,False,True,True,True,True,True,True
0.01,0.01,0.1,0.0001,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.11574339888237394,331.0,315.0,284.0,168.0,88.0,48.0,46.0,44.0,44.0,False,False,False,False,True,True,True,True,True
0.01,0.01,10.0,0.1,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.73742936409548,59.0,35.0,24.0,23.0,23.0,23.0,24.0,29.0,36.0,False,False,False,True,True,True,True,True,True
0.01,0.01,1.0,0.0001,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.4328584451716795,261.0,111.0,37.0,41.0,44.0,44.0,44.0,44.0,44.0,False,False,False,True,True,True,True,True,True
0.01,0.01,1000.0,0.0001,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.4253182796899296,36.0,40.0,41.0,41.0,44.0,44.0,44.0,44.0,44.0,False,False,True,True,True,True,True,True,True
0.01,0.01,100.0,0.01,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.6005131837325259,41.0,40.0,31.0,31.0,35.0,36.0,37.0,38.0,42.0,False,False,False,False,True,True,True,True,True
