lr,dlr,lambda1,lambda2,nh,numberHiddenLayersG,dnh,losstype,functionalComplexity,sampletype,train_epochs,test_epochs,dagstart,dagloss,dagpenalization,dagpenalization_increase,use_filter,filter_threshold,linear,AUPR,SHD 0.1,SHD 0.2,SHD 0.3,SHD 0.4,SHD 0.5,SHD 0.6,SHD 0.7,SHD 0.8,SHD 0.9,DAG 0.1,DAG 0.2,DAG 0.3,DAG 0.4,DAG 0.5,DAG 0.6,DAG 0.7,DAG 0.8,DAG 0.9
0.01,0.01,10,0.1,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,,False,,,False,0.5,False,0.23134634812162433,243.0,211.0,192.0,192.0,184.0,182.0,187.0,191.0,190.0,False,False,False,False,False,False,False,False,False
0.01,0.01,10,1.0,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,,False,,,False,0.5,False,0.21719284600500927,227.0,193.0,187.0,185.0,187.0,186.0,192.0,189.0,195.0,False,False,False,False,False,False,False,False,True
0.01,0.01,10,0.001,100,3,200,fgan,l2_norm,sigmoidproba,3000,1000,,False,,,False,0.5,False,0.23538006283420876,251.0,211.0,200.0,191.0,185.0,187.0,186.0,190.0,193.0,False,False,False,False,False,False,False,False,True
0.01,0.001,10,0.01,100,1,200,fgan,l2_norm,sigmoidproba,3000,1000,,False,,,False,0.5,False,0.2684590046606087,281.0,222.0,203.0,191.0,180.0,172.0,178.0,179.0,183.0,False,False,False,False,False,False,False,False,False
0.01,0.01,10,0.1,100,3,200,fgan,l2_norm,sigmoidproba,3000,1000,,False,,,False,0.5,False,0.21788985772541106,251.0,211.0,198.0,190.0,186.0,188.0,189.0,190.0,197.0,False,False,False,False,False,False,False,False,True
0.01,0.01,10,0.1,20,3,200,fgan,l2_norm,sigmoidproba,3000,1000,,False,,,False,0.5,False,0.2227293134616082,242.0,207.0,194.0,192.0,185.0,188.0,189.0,188.0,193.0,False,False,False,False,False,False,False,False,True
0.01,0.01,10,0.0001,20,3,200,fgan,l2_norm,sigmoidproba,3000,1000,,False,,,False,0.5,False,0.22558567992049713,240.0,211.0,195.0,187.0,186.0,186.0,186.0,189.0,194.0,False,False,False,False,False,False,False,False,False
0.01,0.01,10,0.01,100,2,200,fgan,l2_norm,sigmoidproba,3000,1000,,False,,,False,0.5,False,0.23258615457685178,260.0,206.0,196.0,184.0,181.0,187.0,185.0,191.0,195.0,False,False,False,False,False,False,False,False,False
0.01,0.001,10,0.0001,100,2,200,fgan,l2_norm,sigmoidproba,3000,1000,,False,,,False,0.5,False,0.25022430167102616,329.0,245.0,223.0,211.0,193.0,191.0,185.0,183.0,184.0,False,False,False,False,False,False,False,False,False
0.01,0.01,10,0.001,20,1,200,fgan,l2_norm,sigmoidproba,3000,1000,,False,,,False,0.5,False,0.2385862368093593,240.0,199.0,188.0,178.0,180.0,186.0,188.0,190.0,191.0,False,False,False,False,False,False,False,False,False
0.01,0.01,10,0.0001,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,,False,,,False,0.5,False,0.22796936076730548,268.0,211.0,197.0,191.0,185.0,188.0,187.0,189.0,195.0,False,False,False,False,False,False,False,False,False
0.01,0.001,10,1.0,100,3,200,fgan,l2_norm,sigmoidproba,3000,1000,,False,,,False,0.5,False,0.23489173041599384,260.0,222.0,204.0,197.0,190.0,187.0,180.0,182.0,187.0,False,False,False,False,False,False,False,False,False
0.01,0.001,10,0.001,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,,False,,,False,0.5,False,0.25472938625753866,307.0,242.0,222.0,206.0,198.0,190.0,179.0,180.0,189.0,False,False,False,False,False,False,False,False,False
0.01,0.001,10,0.01,100,3,200,fgan,l2_norm,sigmoidproba,3000,1000,,False,,,False,0.5,False,0.24575910214704869,363.0,268.0,237.0,223.0,203.0,197.0,191.0,179.0,184.0,False,False,False,False,False,False,False,False,False
0.01,0.001,10,0.1,100,3,200,fgan,l2_norm,sigmoidproba,3000,1000,,False,,,False,0.5,False,0.24211173066476915,343.0,253.0,228.0,215.0,204.0,194.0,183.0,182.0,185.0,False,False,False,False,False,False,False,False,False
0.01,0.001,10,0.0001,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,,False,,,False,0.5,False,0.24062185510284656,333.0,252.0,223.0,208.0,204.0,188.0,184.0,178.0,186.0,False,False,False,False,False,False,False,False,False
0.01,0.001,10,1.0,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,,False,,,False,0.5,False,0.24636598571993817,254.0,220.0,204.0,193.0,191.0,183.0,181.0,181.0,189.0,False,False,False,False,False,False,False,False,False
0.01,0.001,10,0.001,100,3,200,fgan,l2_norm,sigmoidproba,3000,1000,,False,,,False,0.5,False,0.23217457126567687,355.0,262.0,229.0,215.0,208.0,195.0,185.0,183.0,185.0,False,False,False,False,False,False,False,False,False
0.01,0.001,10,1.0,100,2,200,fgan,l2_norm,sigmoidproba,3000,1000,,False,,,False,0.5,False,0.2354505493719879,273.0,226.0,209.0,199.0,192.0,184.0,179.0,179.0,184.0,False,False,False,False,False,False,False,False,False
0.01,0.001,10,0.001,20,3,200,fgan,l2_norm,sigmoidproba,3000,1000,,False,,,False,0.5,False,0.23776415044597887,328.0,256.0,224.0,210.0,204.0,193.0,186.0,183.0,185.0,False,False,False,False,False,False,False,False,False
0.01,0.01,10,1.0,100,2,200,fgan,l2_norm,sigmoidproba,3000,1000,,False,,,False,0.5,False,0.23367919833743486,232.0,198.0,187.0,180.0,186.0,187.0,188.0,189.0,195.0,False,False,False,False,False,False,False,False,True
0.01,0.01,10,0.001,20,3,200,fgan,l2_norm,sigmoidproba,3000,1000,,False,,,False,0.5,False,0.21989910741444027,248.0,212.0,197.0,189.0,187.0,189.0,188.0,189.0,193.0,False,False,False,False,False,False,False,False,False
0.01,0.01,10,0.1,100,2,200,fgan,l2_norm,sigmoidproba,3000,1000,,False,,,False,0.5,False,0.2237769911559882,245.0,214.0,193.0,189.0,184.0,186.0,188.0,190.0,194.0,False,False,False,False,False,False,False,False,True
0.01,0.01,10,0.01,20,3,200,fgan,l2_norm,sigmoidproba,3000,1000,,False,,,False,0.5,False,0.22380091778219408,245.0,204.0,195.0,188.0,188.0,187.0,187.0,189.0,196.0,False,False,False,False,False,False,False,False,True
0.01,0.01,10,0.0001,100,2,200,fgan,l2_norm,sigmoidproba,3000,1000,,False,,,False,0.5,False,0.2354430816622886,245.0,208.0,192.0,181.0,182.0,191.0,188.0,189.0,194.0,False,False,False,False,False,False,False,False,True
0.01,0.01,10,1.0,20,3,200,fgan,l2_norm,sigmoidproba,3000,1000,,False,,,False,0.5,False,0.21809933370148812,214.0,194.0,184.0,190.0,187.0,186.0,191.0,194.0,195.0,False,False,False,False,False,False,False,False,True
0.01,0.01,10,0.01,100,3,200,fgan,l2_norm,sigmoidproba,3000,1000,,False,,,False,0.5,False,0.22259859271915625,238.0,203.0,196.0,189.0,187.0,189.0,188.0,191.0,195.0,False,False,False,False,False,False,False,False,True
0.01,0.01,10,0.001,100,2,200,fgan,l2_norm,sigmoidproba,3000,1000,,False,,,False,0.5,False,0.23352153482757235,247.0,205.0,196.0,187.0,185.0,185.0,187.0,194.0,194.0,False,False,False,False,False,False,False,False,True
0.01,0.001,10,0.1,100,1,200,fgan,l2_norm,sigmoidproba,3000,1000,,False,,,False,0.5,False,0.2443429678219981,269.0,222.0,203.0,193.0,183.0,177.0,180.0,184.0,191.0,False,False,False,False,False,False,False,False,False
0.01,0.001,10,0.001,100,1,200,fgan,l2_norm,sigmoidproba,3000,1000,,False,,,False,0.5,False,0.2554994455739572,280.0,226.0,202.0,187.0,179.0,172.0,179.0,185.0,189.0,False,False,False,False,False,False,False,False,False
0.01,0.01,10,0.01,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,,False,,,False,0.5,False,0.23203655556397532,249.0,211.0,194.0,185.0,182.0,186.0,187.0,188.0,191.0,False,False,False,False,False,False,False,False,False
0.01,0.001,10,0.01,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,,False,,,False,0.5,False,0.2470975891474774,326.0,248.0,229.0,208.0,201.0,188.0,184.0,180.0,185.0,False,False,False,False,False,False,False,False,False
