lr,dlr,lambda1,lambda2,nh,numberHiddenLayersG,dnh,losstype,functionalComplexity,sampletype,train_epochs,test_epochs,dagstart,dagloss,dagpenalization,dagpenalization_increase,use_filter,filter_threshold,linear,AUPR,SHD 0.1,SHD 0.2,SHD 0.3,SHD 0.4,SHD 0.5,SHD 0.6,SHD 0.7,SHD 0.8,SHD 0.9,DAG 0.1,DAG 0.2,DAG 0.3,DAG 0.4,DAG 0.5,DAG 0.6,DAG 0.7,DAG 0.8,DAG 0.9
0.01,0.001,10.0,0.0001,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.44823532625898976,84.0,69.0,59.0,48.0,43.0,44.0,46.0,46.0,44.0,False,False,False,False,True,True,True,True,True
0.01,0.001,100.0,0.0,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.36545153923969276,67.0,58.0,53.0,49.0,46.0,49.0,49.0,47.0,45.0,False,False,False,False,True,True,True,True,True
0.01,0.001,1.0,1.0,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.3852008639432769,120.0,82.0,69.0,62.0,56.0,51.0,51.0,48.0,48.0,False,False,False,False,False,True,True,True,True
0.01,0.001,100.0,0.01,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.3561019303984028,65.0,53.0,50.0,48.0,47.0,47.0,50.0,47.0,45.0,False,False,False,False,False,True,True,True,True
0.01,0.001,0.1,1.0,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.2794530710587681,155.0,121.0,92.0,75.0,60.0,53.0,55.0,50.0,47.0,False,False,False,False,True,True,True,True,True
0.01,0.001,1.0,0.0001,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.44010378502300923,123.0,93.0,83.0,61.0,51.0,49.0,49.0,46.0,45.0,False,False,False,False,True,True,True,True,True
0.01,0.001,1000.0,0.0001,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.3427029889219056,52.0,47.0,47.0,45.0,45.0,45.0,48.0,48.0,48.0,False,False,False,False,True,True,True,True,True
0.01,0.001,100.0,0.001,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.37179866456552013,70.0,53.0,49.0,48.0,46.0,46.0,48.0,46.0,47.0,False,False,False,False,True,True,True,True,True
0.01,0.001,0.1,0.0001,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.2593685827595762,150.0,105.0,76.0,69.0,63.0,54.0,50.0,49.0,48.0,False,False,False,False,True,True,True,True,True
0.01,0.001,0.1,0.01,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.27385066399800373,153.0,102.0,82.0,70.0,59.0,52.0,49.0,48.0,49.0,False,False,False,False,True,True,True,True,True
0.01,0.001,1000.0,0.01,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.3171427289241348,52.0,48.0,48.0,45.0,45.0,44.0,47.0,48.0,48.0,False,False,False,False,True,True,True,True,True
0.01,0.001,1000.0,1.0,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.293518642356131,53.0,49.0,47.0,49.0,46.0,45.0,47.0,48.0,48.0,False,False,False,True,True,True,True,True,True
0.01,0.001,1.0,0.001,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.4264928013577181,129.0,98.0,82.0,70.0,51.0,49.0,48.0,46.0,45.0,False,False,False,False,False,True,True,True,True
