lr,dlr,lambda1,lambda2,nh,numberHiddenLayersG,dnh,losstype,functionalComplexity,sampletype,train_epochs,test_epochs,dagstart,dagloss,dagpenalization,dagpenalization_increase,use_filter,filter_threshold,linear,AUPR,SHD 0.1,SHD 0.2,SHD 0.3,SHD 0.4,SHD 0.5,SHD 0.6,SHD 0.7,SHD 0.8,SHD 0.9,DAG 0.1,DAG 0.2,DAG 0.3,DAG 0.4,DAG 0.5,DAG 0.6,DAG 0.7,DAG 0.8,DAG 0.9
0.01,0.001,0.1,1.0,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.26720742625419885,312.0,292.0,272.0,208.0,58.0,42.0,43.0,43.0,43.0,False,False,False,False,True,True,True,True,True
0.01,0.001,0.1,0.001,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.23969523543319676,320.0,305.0,289.0,259.0,58.0,47.0,43.0,43.0,43.0,False,False,False,False,False,True,True,True,True
0.01,0.001,1.0,1.0,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.5014456533320428,121.0,56.0,36.0,39.0,45.0,43.0,42.0,42.0,43.0,False,False,False,False,True,True,True,True,True
0.01,0.001,10.0,0.1,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.5685599354954528,71.0,55.0,42.0,37.0,34.0,35.0,37.0,40.0,43.0,False,False,False,False,False,True,True,True,True
0.01,0.001,1000.0,0.01,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.25219056793782096,44.0,45.0,42.0,42.0,43.0,41.0,43.0,43.0,43.0,False,False,False,False,True,True,True,True,True
0.01,0.001,1000.0,1.0,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.2265316632355331,46.0,44.0,42.0,40.0,42.0,43.0,43.0,43.0,43.0,False,False,False,True,True,True,True,True,True
0.01,0.001,10.0,0.01,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.5386560080938065,76.0,53.0,42.0,37.0,34.0,36.0,39.0,43.0,43.0,False,False,False,False,True,True,True,True,True
0.01,0.001,0.1,0.01,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.2364791127459947,316.0,306.0,289.0,260.0,61.0,45.0,43.0,43.0,43.0,False,False,False,False,False,True,True,True,True
0.01,0.001,1.0,0.001,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.4405759281085963,126.0,61.0,42.0,45.0,41.0,41.0,42.0,44.0,45.0,False,False,False,True,True,True,True,True,True
0.01,0.001,100.0,0.1,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.3172128399444335,53.0,48.0,43.0,40.0,42.0,45.0,45.0,44.0,43.0,False,False,False,False,False,True,True,True,True
