lr,dlr,lambda1,lambda2,nh,numberHiddenLayersG,dnh,losstype,functionalComplexity,sampletype,train_epochs,test_epochs,dagstart,dagloss,dagpenalization,dagpenalization_increase,use_filter,filter_threshold,linear,AUPR,SHD 0.1,SHD 0.2,SHD 0.3,SHD 0.4,SHD 0.5,SHD 0.6,SHD 0.7,SHD 0.8,SHD 0.9,DAG 0.1,DAG 0.2,DAG 0.3,DAG 0.4,DAG 0.5,DAG 0.6,DAG 0.7,DAG 0.8,DAG 0.9
0.01,0.001,100.0,0.0,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.48221186659075815,52.0,45.0,42.0,34.0,36.0,38.0,41.0,38.0,40.0,False,False,False,True,True,True,True,True,True
0.01,0.001,100.0,0.1,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.4951819649458341,51.0,46.0,34.0,35.0,37.0,38.0,37.0,38.0,40.0,False,False,False,False,True,True,True,True,True
0.01,0.001,0.1,0.0,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.3869129431799093,180.0,69.0,47.0,45.0,43.0,42.0,40.0,40.0,40.0,False,False,False,True,True,True,True,True,True
0.01,0.001,1.0,0.01,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.4824287246587009,123.0,81.0,56.0,52.0,46.0,39.0,37.0,37.0,36.0,False,False,False,True,True,True,True,True,True
0.01,0.001,10.0,0.001,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.5816564321608582,71.0,53.0,45.0,36.0,36.0,32.0,32.0,36.0,36.0,False,False,False,True,True,True,True,True,True
0.01,0.001,1000.0,0.01,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.4147597162211272,46.0,41.0,40.0,38.0,36.0,40.0,41.0,41.0,41.0,False,False,False,True,True,True,True,True,True
0.01,0.001,1.0,0.001,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.5103683875520819,114.0,70.0,55.0,49.0,44.0,36.0,36.0,35.0,36.0,False,False,False,False,True,True,True,True,True
0.01,0.001,10.0,0.01,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.5615199873705266,69.0,56.0,45.0,39.0,33.0,31.0,32.0,35.0,36.0,False,False,False,False,True,True,True,True,True
0.01,0.001,1.0,1.0,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.4267176175100707,112.0,71.0,60.0,52.0,44.0,45.0,42.0,41.0,37.0,False,False,False,False,True,True,True,True,True
0.01,0.001,100.0,1.0,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.5041054268373557,49.0,41.0,36.0,37.0,36.0,36.0,37.0,38.0,41.0,False,False,False,False,True,True,True,True,True
0.01,0.001,1000.0,0.0001,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.3962779254281324,44.0,39.0,39.0,39.0,36.0,38.0,41.0,41.0,41.0,False,False,True,True,True,True,True,True,True
0.01,0.001,0.1,0.001,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.46352010839253766,180.0,62.0,42.0,43.0,42.0,39.0,40.0,41.0,41.0,False,False,False,True,True,True,True,True,True
0.01,0.001,1000.0,1.0,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.3564913116728975,45.0,46.0,38.0,38.0,40.0,41.0,41.0,41.0,41.0,False,False,False,False,True,True,True,True,True
0.01,0.001,1.0,0.0,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.48948741852180194,121.0,73.0,57.0,52.0,45.0,40.0,36.0,36.0,37.0,False,False,False,False,True,True,True,True,True
0.01,0.001,1.0,0.1,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.49080421262016244,119.0,74.0,59.0,53.0,48.0,42.0,38.0,35.0,35.0,False,False,False,False,True,True,True,True,True
0.01,0.001,1000.0,0.1,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.38900641146983883,44.0,42.0,38.0,38.0,36.0,38.0,40.0,41.0,41.0,False,False,False,True,True,True,True,True,True
0.01,0.001,1000.0,0.0,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.3976570979830505,45.0,42.0,41.0,39.0,37.0,38.0,41.0,41.0,41.0,False,False,False,True,True,True,True,True,True
0.01,0.001,1.0,0.0001,20,2,200,fgan,l2_norm,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.48108821523738504,114.0,71.0,57.0,49.0,43.0,39.0,36.0,36.0,38.0,False,False,False,False,True,True,True,True,True
