lr,dlr,lambda1,lambda2,nh,numberHiddenLayersG,dnh,losstype,functionalComplexity,sampletype,train_epochs,test_epochs,dagstart,dagloss,dagpenalization,dagpenalization_increase,use_filter,filter_threshold,linear,AUPR,SHD 0.1,SHD 0.2,SHD 0.3,SHD 0.4,SHD 0.5,SHD 0.6,SHD 0.7,SHD 0.8,SHD 0.9,DAG 0.1,DAG 0.2,DAG 0.3,DAG 0.4,DAG 0.5,DAG 0.6,DAG 0.7,DAG 0.8,DAG 0.9
0.01,0.01,100.0,0.01,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.5215268644897619,59.0,33.0,25.0,22.0,19.0,20.0,21.0,21.0,24.0,False,False,False,False,True,True,True,True,True
0.01,0.01,100.0,1.0,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.43884963143670697,58.0,38.0,29.0,25.0,23.0,23.0,21.0,23.0,23.0,False,False,False,True,True,True,True,True,True
0.01,0.01,1.0,0.1,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.7106690995192442,133.0,72.0,44.0,24.0,18.0,16.0,20.0,22.0,24.0,False,False,False,True,True,True,True,True,True
0.01,0.01,1.0,0.0001,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.6977342925145048,138.0,81.0,42.0,21.0,18.0,19.0,20.0,22.0,24.0,False,False,False,True,True,True,True,True,True
0.01,0.01,10.0,1.0,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.4885509960880983,92.0,52.0,36.0,27.0,21.0,22.0,21.0,24.0,25.0,False,False,False,True,True,True,True,True,True
0.01,0.01,1000.0,0.001,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.3945778253678855,31.0,25.0,20.0,21.0,23.0,23.0,23.0,23.0,23.0,False,False,False,True,True,True,True,True,True
0.01,0.01,100.0,0.001,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.5089676963085716,50.0,26.0,25.0,22.0,21.0,19.0,19.0,21.0,24.0,False,False,False,True,True,True,True,True,True
0.01,0.01,0.1,0.001,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.19873082211905402,331.0,215.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,False,False,True,True,True,True,True,True,True
0.01,0.01,1000.0,1.0,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.29813657417890016,32.0,25.0,26.0,25.0,24.0,24.0,23.0,23.0,23.0,False,False,False,True,True,True,True,True,True
0.01,0.01,1000.0,0.01,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.3916497171678945,31.0,23.0,24.0,21.0,23.0,22.0,23.0,22.0,24.0,False,False,False,True,True,True,True,True,True
0.01,0.01,0.1,1.0,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.4808431035719504,221.0,46.0,25.0,21.0,25.0,23.0,24.0,24.0,24.0,False,False,True,True,True,True,True,True,True
0.01,0.01,0.1,0.01,200,1,200,fgan,numberHiddenUnits,sigmoidproba,3000,1000,0.5,True,0,0.01,False,0.5,False,0.33399821641021976,323.0,152.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,False,False,True,True,True,True,True,True,True
